Flight,Time,Altitude,LatError_Meters,LngError_Meters,Heading,Pitch,Roll,Latitude Change Meters,Longitude Change Meters
Flight 10,488862.1964,72991.05751,-87,4021,90,Retrograde-9,25,3,0
Flight 10,488862.4364,72847.38389,-88,4018,90,Retrograde-9,25,3,-1
Flight 10,488862.6764,72703.17657,-88,4015,90,Retrograde-9,25,3,0
Flight 10,488862.9164,72558.43092,-88,4013,90,Retrograde-9,25,2,0
Flight 10,488863.1564,72413.12157,-88,4015,90,Retrograde-9,25,-2,0
Flight 10,488863.3964,72267.24577,-88,4018,90,Retrograde-9,25,-3,0
Flight 10,488863.6364,72120.80517,-88,4022,90,Retrograde-9,25,-4,0
Flight 10,488863.8764,71973.7919,-87,4025,90,Retrograde-9,25,-3,1
Flight 10,488864.1164,71826.22737,-87,4028,90,Retrograde-9,25,-3,0
Flight 10,488864.3564,71678.10372,-87,4031,90,Retrograde-9,25,-3,0
Flight 10,488864.5964,71529.40848,-88,4034,90,Retrograde-9,25,-3,-1
Flight 10,488864.8364,71380.16276,-87,4037,90,Retrograde-9,25,-3,1
Flight 10,488865.0764,71230.34304,-87,4041,90,Retrograde-9,25,-4,0
Flight 10,488865.3164,71079.95742,-87,4044,90,Retrograde-9,25,-3,0
Flight 10,488865.5564,70929.00644,-87,4046,90,Retrograde-9,25,-2,0
Flight 10,488865.7964,70777.49984,-87,4048,90,Retrograde-9,25,-2,0
Flight 10,488866.0364,70625.44627,-86,4048,90,Retrograde-9,25,0,1
Flight 10,488866.2764,70472.84629,-87,4047,90,Retrograde-9,25,1,-1
Flight 10,488866.5164,70319.69476,-87,4045,90,Retrograde-9,25,2,0
Flight 10,488866.7564,70165.99812,-87,4044,90,Retrograde-9,25,1,0
Flight 10,488866.9964,70011.75811,-87,4043,90,Retrograde-9,25,1,0
Flight 10,488867.2364,69856.95868,-87,4043,90,Retrograde-9,25,0,0
Flight 10,488867.4764,69701.60363,-87,4042,90,Retrograde-9,25,1,0
Flight 10,488867.7164,69545.71136,-87,4042,90,Retrograde-9,25,0,0
Flight 10,488867.9564,69389.25428,-87,4042,90,Retrograde-9,25,0,0
Flight 10,488868.1964,69232.2581,-87,4041,90,Retrograde-9,25,1,0
Flight 10,488868.4364,69074.69899,-87,4041,90,Retrograde-9,25,0,0
Flight 10,488868.6764,68916.5891,-86,4041,90,Retrograde-9,25,0,1
Flight 10,488868.9164,68757.92795,-87,4041,90,Retrograde-9,25,0,-1
Flight 10,488869.1564,68598.71416,-86,4041,90,Retrograde-9,25,0,1
Flight 10,488869.3964,68438.95829,-87,4041,90,Retrograde-9,25,0,-1
Flight 10,488869.6364,68278.63756,-87,4041,90,Retrograde-9,25,0,0
Flight 10,488869.8764,68117.77234,-87,4040,90,Retrograde-9,25,1,0
Flight 10,488870.1164,67956.34396,-87,4040,90,Retrograde-9,25,0,0
Flight 10,488870.3564,67794.37725,-87,4040,90,Retrograde-9,25,0,0
Flight 10,488870.5964,67631.86022,-87,4039,90,Retrograde-9,25,1,0
Flight 10,488870.8364,67468.77606,-87,4040,90,Retrograde-9,25,-1,0
Flight 10,488871.0764,67305.14344,-87,4040,90,Retrograde-9,25,0,0
Flight 10,488871.3164,67140.96346,-87,4040,90,Retrograde-9,25,0,0
Flight 10,488871.5564,66976.22299,-87,4040,90,Retrograde-9,25,0,0
